N de inventario,N de intevención,fotografia,larvas,esqueletos,inciciones,tapones,link-fotografías,fecha finalizacion
5329,353,1,0.0,0.0,5.0,0.0,vacio,2022-11-29
5330,258,1,10.0,,713.0,21.0,,2021-12-01
5330,336,1,6.0,14.0,741.0,7.0,vacio,2022-11-23
5331,364,1,7.0,1.0,773.0,7.0,vacio,2023-02-06
5331,266,1,,,740.0,38.0,,2021-12-01
5332,257,1,0.0,0.0,237.0,4.0,,2021-12-02
5332,337,1,0.0,23.0,262.0,2.0,vacio,2022-11-24
5333,357,1,20.0,150.0,1000.0,20.0,vacio,2022-12-23
5336,367,1,0.0,4.0,18.0,0.0,vacio,2023-02-07
5336,275,1,0.0,0.0,13.0,0.0,,2021-12-07
5337,342,1,0.0,7.0,188.0,7.0,vacio,2022-11-02
5337,256,1,0.0,0.0,164.0,1.0,,2021-11-22
5356,370,1,0.0,0.0,15.0,0.0,vacio,2023-02-08
5356,274,1,0.0,0.0,15.0,0.0,,2021-12-01
5358,343,1,22.0,15.0,1124.0,14.0,vacio,2022-11-28
5358,276,1,0.0,0.0,1087.0,66.0,,2021-12-06
5360,369,1,0.0,0.0,7.0,0.0,vacio,2023-02-08
5360,277,1,0.0,0.0,3.0,0.0,,2021-11-30
5363,199,0,,,,,,2021-08-13
5406,320,0,0.0,3.0,112.0,1.0,,2022-10-04
5406,415,0,0.0,0.0,11.0,0.0,vacio,2023-03-10
5413,322,1,0.0,0.0,50.0,0.0,,2022-10-13
5416,328,1,0.0,0.0,7.0,0.0,vacio,2021-01-27
5417,324,1,0.0,0.0,40.0,0.0,,2022-10-11
5422,325,1,0.0,0.0,19.0,0.0,vacio,2021-11-23
5423,326,1,0.0,0.0,11.0,0.0,vacio,2021-01-29
5424,319,1,0.0,0.0,109.0,1.0,,2022-09-22
5426,318,1,0.0,0.0,47.0,2.0,,2022-09-20
5428,321,1,1.0,6.0,328.0,14.0,,2022-10-11
5548,212,1,,,1202.0,15.0,,2021-11-10
5548,398,1,31.0,9.0,1256.0,14.0,vacio,
5549,233,1,0.0,0.0,480.0,20.0,,2021-11-12
5549,409,1,12.0,2.0,487.0,0.0,vacio,2023-03-08
5555,329,1,0.0,0.0,25.0,0.0,vacio,2021-06-08
6299,435,0,0.0,0.0,94.0,0.0,vacio,2023-03-13
6300,436,0,0.0,4.0,147.0,1.0,vacio,2023-03-14
6301,438,0,0.0,1.0,70.0,0.0,vacio,2023-03-14
6301,253,0,0.0,0.0,97.0,3.0,,2021-11-19
6302,439,0,0.0,0.0,74.0,0.0,vacio,2023-03-14
6303,440,0,0.0,0.0,46.0,0.0,vacio,2023-03-14
6303,414,0,3.0,1.0,117.0,2.0,vacio,2023-03-09
6303,441,0,0.0,0.0,2.0,0.0,vacio,
